Batch_ID;KLT_ID;A1;A2;A3
1;13;-0,0322;-0,1846;-0,4695
1;13;-0,2147;-0,3064;-0,6944
1;13;-0,1999;-0,2266;-0,5471
1;13;-0,1951;-0,1198;-0,35
1;13;-0,1409;-0,0776;-0,272
1;13;-0,1506;-0,2411;-0,574
1;13;-0,1179;-0,1099;-0,3317
1;13;-0,0651;-0,2073;-0,5116
1;13;-0,0755;-0,1821;-0,4649
1;13;-0,2191;-0,1485;-0,403
1;13;-0,1039;-0,0846;-0,2849
1;13;-0,2157;0,1376;0,1252
1;13;-0,1558;-0,1928;-0,4847
1;13;-0,0538;-0,1596;-0,4234
1;13;-0,2089;-0,2736;-0,634
1;13;-0,2449;-0,1783;-0,458
1;13;-0,0712;-0,0736;-0,2646
1;13;-0,1169;-0,2429;-0,5772
1;13;0,073;-0,3409;-0,7581
1;13;-0,0341;-0,0605;-0,2405
1;13;-0,2101;-0,167;-0,4371
1;13;-0,0192;-0,3932;-0,8546
1;13;-0,0844;-0,3871;-0,8433
1;13;-0,0443;-0,1473;-0,4007
1;13;0,0058;-0,1095;-0,3309
1;13;0,0098;-0,0375;-0,1981
1;13;-0,1007;-0,501;-1,0537
1;13;-0,3427;-0,1518;-0,4091
1;13;-0,1594;-0,2878;-0,66
1;13;-0,0304;-0,2454;-0,5818
1;13;-0,1727;0,0008;-0,1273
1;13;-0,2616;-0,1332;-0,3747
1;13;-0,1583;-0,175;-0,4519
1;13;0,0003;-0,3316;-0,741
1;13;-0,2165;-0,1518;-0,4091
1;13;-0,24;-0,3148;-0,71
2;21;-0,1537;0,1119;0,3658
2;21;-0,434;0,0236;0,2027
2;21;-0,4277;-0,001;0,1573
2;21;-0,3099;-0,2025;-0,2147
2;21;-0,3714;0,0781;0,3033
2;21;-0,3142;-0,0164;0,1289
2;21;-0,1887;-0,0497;0,0674
2;21;-0,4396;0,0612;0,2722
2;21;-0,3597;-0,0875;-0,0024
2;21;-0,4422;-0,0053;0,1493
2;21;-0,3583;0,0521;0,2553
2;21;-0,3903;0,1525;0,4407
2;21;-0,3311;-0,0166;0,1285
2;21;-0,2718;-0,0297;0,1042
2;21;-0,2022;0,1023;0,3479
2;21;-0,1766;-0,0775;0,016
2;21;-0,3994;-0,003;0,1536
2;21;-0,3438;0,0834;0,313
2;21;-0,3202;0,0886;0,3227
2;21;-0,2692;0,055;0,2607
2;21;-0,4411;-0,1988;-0,208
2;21;-0,1263;-0,19;-0,1917
2;21;-0,3677;-0,0244;0,1141
2;21;-0,3027;-0,2887;-0,3738
2;21;-0,223;-0,1429;-0,1048
2;21;-0,2894;-0,1088;-0,0418
2;21;-0,1891;-0,097;-0,0199
2;21;-0,3886;0,1729;0,4784
2;21;-0,0753;0,0768;0,3009
2;21;-0,4699;0,2492;0,6191
2;21;-0,1936;-0,3066;-0,4068
2;21;-0,3963;0,0457;0,2434
2;21;-0,2056;-0,1462;-0,1107
2;21;-0,278;0,0727;0,2932
2;21;-0,0863;-0,0893;-0,0057
2;21;-0,3026;-0,2613;-0,3233
2;21;-0,281;-0,0457;0,0748
2;21;-0,22;0,0922;0,3293
2;21;-0,0884;-0,0122;0,1365
2;21;-0,1791;-0,1268;-0,075
2;21;-0,147;0,0686;0,2858
2;21;-0,4425;-0,0003;0,1586
2;21;-0,2568;-0,0171;0,1275
2;21;-0,1821;-0,1567;-0,1301
2;21;-0,0955;-0,0109;0,1389
2;21;-0,0934;-0,0148;0,1318
2;21;-0,3278;0,0162;0,1891
2;21;-0,1647;0,037;0,2275
2;21;-0,2155;-0,0592;0,0497
2;21;-0,2364;-0,102;-0,0292
2;22;-0,3256;0,092;0,1903
2;22;-0,3032;-0,1247;-0,2096
2;22;-0,1491;-0,1764;-0,3051
2;22;-0,3514;-0,1663;-0,2865
2;22;-0,328;-0,256;-0,4521
2;22;-0,2395;0,0698;0,1494
2;22;-0,3116;0,0547;0,1215
2;22;-0,2349;-0,043;-0,0588
2;22;-0,3733;0,1316;0,2635
2;22;-0,273;-0,0048;0,0117
2;22;-0,2955;-0,0717;-0,1118
2;22;-0,4053;0,0436;0,1011
2;22;-0,2453;-0,0723;-0,1128
2;22;-0,0675;-0,01;0,002
2;22;-0,4583;-0,0491;-0,0701
2;22;-0,2441;-0,0248;-0,0252
2;22;-0,4102;-0,0448;-0,0621
2;22;-0,3228;0,0115;0,0417
2;22;-0,3237;-0,0824;-0,1315
2;22;-0,3197;0,0181;0,054
2;22;-0,1152;0,0172;0,0523
2;22;-0,332;0,0515;0,1155
2;22;-0,3455;0,0949;0,1957
2;22;-0,3232;0,0166;0,0511
2;22;-0,1245;-0,0442;-0,0611
2;22;-0,1999;-0,0036;0,014
2;22;0,2923;0,0237;0,0643
2;22;-0,1612;-0,2919;-0,5183
2;22;-0,2038;-0,3934;-0,7058
2;22;-0,1007;-0,0946;-0,1542
2;22;-0,3467;-0,0296;-0,0341
2;22;-0,2594;-0,2619;-0,4629
2;22;-0,3937;0,1165;0,2356
2;22;-0,2921;-0,1341;-0,227
2;22;-0,2229;-0,1973;-0,3437
2;22;-0,3558;-0,0748;-0,1176
2;22;-0,2273;-0,0268;-0,0288
2;22;-0,3694;-0,2195;-0,3848
2;22;-0,3136;-0,0445;-0,0617
2;22;-0,3258;0,0078;0,0349
2;22;-0,3593;-0,1309;-0,2211
2;22;-0,1145;-0,1509;-0,2581
2;22;-0,2535;-0,178;-0,308
2;22;-0,1567;-0,0193;-0,0152
2;22;-0,367;-0,1515;-0,2592
2;22;-0,1646;0,0657;0,1418
2;22;-0,3365;-0,1039;-0,1712
2;22;-0,127;-0,0424;-0,0577
2;22;-0,2688;0,0594;0,1302
2;22;-0,2402;-0,153;-0,262
2;23;-0,2138;-0,3574;-0,474
2;23;-0,2389;-0,0416;0,109
2;23;-0,4367;-0,2596;-0,2935
2;23;-0,1885;-0,1569;-0,104
2;23;-0,3972;-0,0854;0,0281
2;23;-0,3773;0,0195;0,2218
2;23;-0,2218;0,027;0,2357
2;23;-0,2779;0,0267;0,235
2;23;-0,4261;-0,1459;-0,0837
2;23;-0,293;-0,0128;0,1621
2;23;-0,2573;0,1519;0,4662
2;23;-0,3044;-0,0827;0,033
2;23;-0,1877;-0,0681;0,0601
2;23;-0,3378;-0,1311;-0,0563
2;23;-0,3932;-0,1753;-0,1379
2;23;-0,2907;-0,3478;-0,4563
2;23;-0,3928;-0,3836;-0,5224
2;23;-0,3802;0,1414;0,4468
2;23;-0,3386;-0,1736;-0,1347
2;23;-0,5295;0,1716;0,5027
2;23;-0,3769;-0,1348;-0,0632
2;23;-0,4452;-0,086;0,0271
2;23;-0,301;-0,0428;0,1068
2;23;-0,2363;-0,0152;0,1576
2;23;-0,3908;-0,1042;-0,0066
2;23;-0,4915;-0,0655;0,0648
2;23;-0,3306;0,0734;0,3213
2;23;-0,3102;0,2437;0,6358
2;23;-0,503;-0,0415;0,1092
2;23;-0,3402;-0,1201;-0,036
2;23;-0,3721;-0,1352;-0,0639
2;23;-0,2672;-0,0979;0,005
2;23;-0,5139;-0,2055;-0,1937
2;23;-0,4118;-0,2514;-0,2783
2;23;-0,3441;-0,0201;0,1487
2;23;-0,1547;0,2377;0,6245
2;23;-0,5183;-0,1304;-0,0549
2;23;-0,2912;-0,1304;-0,0549
2;23;-0,2222;-0,0951;0,0101
2;23;-0,2533;0,1307;0,427
2;23;-0,3469;0,065;0,3058
2;23;-0,3491;-0,045;0,1026
2;23;-0,4115;-0,0485;0,0962
2;23;-0,3399;-0,0847;0,0294
2;23;-0,4193;-0,0877;0,0238
2;23;-0,1461;-0,1711;-0,1302
2;23;-0,5595;0,0056;0,1962
2;23;-0,3298;-0,0463;0,1003
2;23;-0,383;0,0773;0,3285
2;23;-0,2353;-0,0375;0,1165
3;31;-0,5672;0,3462;0,3551
3;31;-0,4387;0,1433;-0,0195
3;31;-0,4371;-0,0147;-0,3111
3;31;-0,5448;0,1443;-0,0176
3;31;-0,3448;0,0537;-0,1849
3;31;-0,414;0,0036;-0,2773
3;31;-0,4222;0,0355;-0,2186
3;31;-0,3634;0,3343;0,3331
3;31;-0,3532;0,2669;0,2087
3;31;-0,2547;-0,1317;-0,5271
3;31;-0,447;0,0171;-0,2524
3;31;-0,2807;0,2116;0,1065
3;31;-0,4628;0,1776;0,0439
3;31;-0,3745;0,0443;-0,2023
3;31;-0,3524;0,2405;0,16
3;31;-0,4282;0,0493;-0,1931
3;31;-0,5009;0,196;0,0778
3;31;-0,37;-0,0761;-0,4245
3;31;-0,0636;-0,0179;-0,317
3;31;-0,2713;0,1989;0,0832
3;31;-0,3609;0,1992;0,0836
3;31;-0,412;0,185;0,0574
3;31;-0,2263;0,1031;-0,0938
3;31;-0,2831;-0,1407;-0,5438
3;31;-0,1994;-0,109;-0,4854
3;31;-0,2852;0,083;-0,1308
3;31;-0,3014;0,1345;-0,0357
3;31;-0,294;0,1397;-0,0262
3;31;-0,5606;0,0107;-0,2643
3;31;-0,295;0,0852;-0,1268
3;31;-0,6007;0,1826;0,0531
3;31;-0,3941;-0,0362;-0,3508
3;31;-0,2744;0,1616;0,0143
3;31;-0,2885;0,1336;-0,0374
3;31;-0,3377;0,0445;-0,2019
3;31;-0,5056;-0,1339;-0,5312
3;31;-0,4703;0,1226;-0,0578
3;31;-0,5064;0,085;-0,1272
3;31;-0,4117;0,1612;0,0136
3;31;-0,3682;0,4345;0,5181
3;31;-0,322;0,1247;-0,0538
3;31;-0,4036;-0,0549;-0,3854
3;31;-0,6118;0,129;-0,0459
3;31;-0,3532;0,1593;0,01
3;31;-0,3959;-0,1462;-0,5539
3;31;-0,3985;0,0287;-0,231
3;31;-0,4212;0,0706;-0,1537
3;31;-0,1611;-0,0067;-0,2965
3;31;-0,4294;0,0645;-0,1649
3;31;-0,5016;0,1073;-0,0859
3;32;-0,5099;0,0593;-0,0367
3;32;-0,46;0,3938;0,5809
3;32;-0,2951;-0,0925;-0,3168
3;32;-0,2305;0,0346;-0,0822
3;32;-0,4483;0,0681;-0,0204
3;32;-0,3672;0,0828;0,0067
3;32;-0,4854;0,0618;-0,032
3;32;-0,422;0,2154;0,2515
3;32;-0,6232;0,2298;0,2781
3;32;-0,4836;0,2315;0,2813
3;32;-0,2484;0,1408;0,1138
3;32;-0,4788;0,0327;-0,0857
3;32;-0,1488;0,2779;0,3669
3;32;-0,4814;0,1497;0,1303
3;32;-0,3947;-0,0163;-0,1761
3;32;-0,354;0,1049;0,0476
3;32;-0,4719;-0,0456;-0,2303
3;32;-0,2914;0,1233;0,0815
3;32;-0,1948;0,1376;0,108
3;32;-0,4917;-0,0174;-0,1782
3;32;-0,6415;0,3504;0,5008
3;32;-0,4625;-0,0121;-0,1684
3;32;-0,4778;-0,018;-0,1794
3;32;-0,1447;0,1109;0,0585
3;32;-0,1177;0,2996;0,407
3;32;-0,2956;0,2213;0,2625
3;32;-0,6211;0,177;0,1806
3;32;-0,4063;0,2819;0,3743
3;32;-0,4178;0,2938;0,3964
3;32;-0,6017;0,0736;-0,0103
3;32;-0,4069;0,0998;0,038
3;32;-0,3849;0,1016;0,0414
3;32;-0,462;0,088;0,0164
3;32;-0,3333;-0,1469;-0,4174
3;32;-0,4856;-0,1334;-0,3924
3;32;-0,4025;0,0187;-0,1116
3;32;-0,4403;0,0865;0,0135
3;32;-0,3842;0,1807;0,1875
3;32;-0,3468;0,0508;-0,0523
3;32;-0,4886;0,1949;0,2136
3;32;-0,5923;0,0109;-0,126
3;32;-0,5575;0,0742;-0,0092
3;32;-0,5055;-0,0862;-0,3053
3;32;-0,4747;0,3297;0,4626
3;32;-0,2509;0,1129;0,0623
3;32;-0,629;0,1445;0,1207
3;32;-0,466;0,1389;0,1104
3;32;-0,4434;-0,3087;-0,7161
3;32;-0,3245;0,1129;0,0624
3;32;-0,4452;0,0939;0,0272
3;33;0,1556;0,1437;0,4284
3;33;0,1676;0,2802;0,6804
3;33;0,0146;0,1945;0,5223
3;33;-0,0061;-0,171;-0,1526
3;33;0,0048;0,0258;0,2108
3;33;0,226;0,1358;0,4139
3;33;0,1886;0,0249;0,2092
3;33;0,0147;0,1055;0,3579
3;33;-0,0726;0,3775;0,86
3;33;0,127;0,1169;0,3789
3;33;0,0044;0,1403;0,4223
3;33;0,1456;0,1131;0,372
3;33;0,1225;0,0295;0,2175
3;33;0,2871;0,0223;0,2043
3;33;0,2977;0,1656;0,4689
3;33;0,1698;0,0871;0,3239
3;33;0,1176;0,0466;0,2491
3;33;-0,0581;-0,1919;-0,1912
3;33;-0,0249;0,1971;0,527
3;33;0,162;0,2813;0,6824
3;33;0,1549;0,0057;0,1737
3;33;0,1696;0,2173;0,5644
3;33;0,1904;0,1242;0,3925
3;33;0,2844;0,0486;0,2529
3;33;0,1006;0,2642;0,6509
3;33;0,0436;-0,0034;0,1569
3;33;0,2169;0,1946;0,5224
3;33;-0,0694;0,1784;0,4924
3;33;0,2629;0,0669;0,2867
3;33;0,2129;-0,0481;0,0743
3;33;0,1594;0,3846;0,8732
3;33;0,1122;0,1143;0,3742
3;33;0,2576;0,1685;0,4743
3;33;0,1346;0,2898;0,6982
3;33;-0,0551;0,1443;0,4295
3;33;0,1791;-0,2322;-0,2656
3;33;0,3873;0,2082;0,5475
3;33;0,1444;0,3511;0,8113
3;33;0,1189;-0,0634;0,0462
3;33;-0,1144;0,1006;0,3489
3;33;0,163;-0,2335;-0,268
3;33;0,1163;-0,0237;0,1194
3;33;0,0385;0,165;0,4678
3;33;0,235;-0,019;0,128
3;33;0,405;0,0826;0,3157
3;33;0,3415;0,0721;0,2963
3;33;0,1371;0,2415;0,609
3;33;0,0629;-0,0226;0,1213
3;33;0,0946;0,0449;0,246
3;33;0,1673;0,1635;0,4649
